id,电影名称,评分,演员,网址
1292052,肖申克的救赎,9.7,"蒂姆·罗宾斯, 摩根·弗里曼, 鲍勃·冈顿, ",https://movie.douban.com/subject/1292052/
1291546,霸王别姬,9.6,"张国荣, 张丰毅, 巩俐, ",https://movie.douban.com/subject/1291546/
1292720,阿甘正传,9.5,"汤姆·汉克斯, 罗宾·怀特, 加里·西尼斯, ",https://movie.douban.com/subject/1292720/
1295644,这个杀手不太冷,9.4,"让·雷诺, 娜塔莉·波特曼, 加里·奥德曼, ",https://movie.douban.com/subject/1295644/
1292063,美丽人生,9.5,"罗伯托·贝尼尼, 尼可莱塔·布拉斯基, 乔治·坎塔里尼, ",https://movie.douban.com/subject/1292063/
1292722,泰坦尼克号,9.4,"莱昂纳多·迪卡普里奥, 凯特·温丝莱特, 比利·赞恩, ",https://movie.douban.com/subject/1292722/
1291561,千与千寻,9.3,"柊瑠美, 入野自由, 夏木真理, ",https://movie.douban.com/subject/1291561/
1295124,辛德勒的名单,9.5,"连姆·尼森, 本·金斯利, 拉尔夫·费因斯, ",https://movie.douban.com/subject/1295124/
3541415,盗梦空间,9.3,"莱昂纳多·迪卡普里奥, 约瑟夫·高登-莱维特, 艾伦·佩吉, ",https://movie.douban.com/subject/3541415/
3011091,忠犬八公的故事,9.3,"理查·基尔, 萨拉·罗默尔, 琼·艾伦, ",https://movie.douban.com/subject/3011091/
2131459,机器人总动员,9.3,"本·贝尔特, 艾丽莎·奈特, 杰夫·格尔林, ",https://movie.douban.com/subject/2131459/
3793023,三傻大闹宝莱坞,9.2,"阿米尔·汗, 卡琳娜·卡普尔, 马达范, ",https://movie.douban.com/subject/3793023/
1291549,放牛班的春天,9.3,"热拉尔·朱尼奥, 弗朗索瓦·贝莱昂, 凯德·麦拉德, ",https://movie.douban.com/subject/1291549/
1292001,海上钢琴师,9.2,"蒂姆·罗斯, 普路特·泰勒·文斯, 比尔·努恩, ",https://movie.douban.com/subject/1292001/
1292064,楚门的世界,9.2,"金·凯瑞, 劳拉·琳妮, 艾德·哈里斯, ",https://movie.douban.com/subject/1292064/
1889243,星际穿越,9.3,"马修·麦康纳, 安妮·海瑟薇, 杰西卡·查斯坦, ",https://movie.douban.com/subject/1889243/
1292213,大话西游之大圣娶亲,9.2,"周星驰, 吴孟达, 朱茵, ",https://movie.douban.com/subject/1292213/
1291560,龙猫,9.2,"日高法子, 坂本千夏, 糸井重里, ",https://movie.douban.com/subject/1291560/
5912992,熔炉,9.3,"孔侑, 郑有美, 金志映, ",https://movie.douban.com/subject/5912992/
1291841,教父,9.3,"马龙·白兰度, 阿尔·帕西诺, 詹姆斯·肯恩, ",https://movie.douban.com/subject/1291841/
1307914,无间道,9.2,"刘德华, 梁朝伟, 黄秋生, ",https://movie.douban.com/subject/1307914/
25662329,疯狂动物城,9.2,"金妮弗·古德温, 杰森·贝特曼, 伊德里斯·艾尔巴, ",https://movie.douban.com/subject/25662329/
1849031,当幸福来敲门,9.1,"威尔·史密斯, 贾登·史密斯, 坦迪·牛顿, ",https://movie.douban.com/subject/1849031/
3319755,怦然心动,9.0,"玛德琳·卡罗尔, 卡兰·麦克奥利菲, 瑞贝卡·德·莫妮, ",https://movie.douban.com/subject/3319755/
6786002,触不可及,9.2,"弗朗索瓦·克鲁塞, 奥玛·希, 安娜·勒尼, ",https://movie.douban.com/subject/6786002/
1851857,蝙蝠侠：黑暗骑士,9.1,"克里斯蒂安·贝尔, 希斯·莱杰, 艾伦·艾克哈特, ",https://movie.douban.com/subject/1851857/
1300267,乱世佳人,9.3,"费雯·丽, 克拉克·盖博, 奥利维娅·德哈维兰, ",https://movie.douban.com/subject/1300267/
1292365,活着,9.2,"葛优, 巩俐, 姜武, ",https://movie.douban.com/subject/1292365/
1296141,控方证人,9.6,"泰隆·鲍华, 玛琳·黛德丽, 查尔斯·劳顿, ",https://movie.douban.com/subject/1296141/
1929463,少年派的奇幻漂流,9.0,"苏拉·沙玛, 伊尔凡·可汗, 拉菲·斯波, ",https://movie.douban.com/subject/1929463/
26387939,摔跤吧！爸爸,9.0,"阿米尔·汗, 法缇玛·萨那·纱卡, 桑亚·玛荷塔, ",https://movie.douban.com/subject/26387939/
1291552,指环王3：王者无敌,9.2,"维果·莫腾森, 伊利亚·伍德, 西恩·奥斯汀, ",https://movie.douban.com/subject/1291552/
1291583,天空之城,9.1,"田中真弓, 横泽启子, 初井言荣, ",https://movie.douban.com/subject/1291583/
1291858,鬼子来了,9.2,"姜文, 香川照之, 袁丁, ",https://movie.douban.com/subject/1291858/
1293182,十二怒汉,9.4,"亨利·方达, 马丁·鲍尔萨姆, 约翰·菲德勒, ",https://movie.douban.com/subject/1293182/
1291828,天堂电影院,9.2,"安东内拉·阿蒂利, 恩佐·卡拉瓦勒, 艾萨·丹尼埃利, ",https://movie.douban.com/subject/1291828/
2129039,飞屋环游记,9.0,"爱德华·阿斯纳, 克里斯托弗·普卢默, 乔丹·长井, ",https://movie.douban.com/subject/2129039/
1299398,大话西游之月光宝盒,9.0,"周星驰, 吴孟达, 罗家英, ",https://movie.douban.com/subject/1299398/
1308807,哈尔的移动城堡,9.0,"倍赏千惠子, 木村拓哉, 美轮明宏, ",https://movie.douban.com/subject/1308807/
1293839,罗马假日,9.0,"奥黛丽·赫本, 格利高里·派克, 埃迪·艾伯特, ",https://movie.douban.com/subject/1293839/
